Generation,Identifier,Finish,Storage,Model
,,Green,64 GB,"MWHY2, MWK62, MWJK2, MWKT2, MWLD2"
,,,128 GB,"MWJ52, MWKE2, MWJR2, MWL02, MWLK2"
,,,256 GB,"MWJD2, MWKL2, MWJY2, MWL62, MWLR2"
,,PRODUCT(RED),64 GB,"MWHV2, MWK22, MWJG2, MWKP2, MWL92"
,,,128 GB,"MWJ22, MWK92, MWJN2, MWKW2, MWLG2"
,,,256 GB,"MWJ92, MWKH2, MWJV2, MWL32, MWLN2"
,,Purple,64 GB,"MWHX2, MWK52, MWJJ2, MWKR2, MWLC2"
,,,128 GB,"MWJ42, MWKD2, MWJQ2, MWKY2, MWLJ2"
,,,256 GB,"MWJC2, MWKK2, MWJX2, MWL52, MWLQ2"
,,White,64 GB,"MWHU2, MWK12, MWJF2, MWKN2, MWL82"
,,,128 GB,"MWJ12, MWK82, MWJM2, MWKV2, MWLF2"
,,,256 GB,"MWJ72, MWKG2, MWJU2, MWL22, MWLM2"
,,Yellow,64 GB,"MWHW2, MWK32, MWJH2, MWKQ2, MWLA2"
,,,128 GB,"MWJ32, MWKC2, MWJP2, MWKX2, MWLH2"
,,,256 GB,"MWJA2, MWKJ2, MWJW2, MWL42, MWLP2"
,,Black,64 GB,MWLT2
,,,128 GB,MWM02
,,,256 GB,MWM72
,,Green,64 GB,MWLY2
,,,128 GB,MWM62
,,,256 GB,MWMD2
,,PRODUCT(RED),64 GB,MWLV2
,,,128 GB,MWM32
,,,256 GB,MWM92
,,Purple,64 GB,MWLX2
,,,128 GB,MWM52
,,,256 GB,MWMC2
,,White,64 GB,MWLU2
,,,128 GB,MWM22
,,,256 GB,MWM82
,,Yellow,64 GB,MWLW2
,,,128 GB,MWM42
,,,256 GB,MWMA2
,,Black,64 GB,MWN02
,,,128 GB,MWN72
,,,256 GB,MWNF2
,,Green,64 GB,MWN62
,,,128 GB,MWNE2
,,,256 GB,MWNL2
,,PRODUCT(RED),64 GB,MWN22
,,,128 GB,MWN92
,,,256 GB,MWNH2
,,Purple,64 GB,MWN52
,,,128 GB,MWND2
,,,256 GB,MWNK2
,,White,64 GB,MWN12
,,,128 GB,MWN82
,,,256 GB,MWNG2
,,Yellow,64 GB,MWN32
,,,128 GB,MWNC2
,,,256 GB,MWNJ2
iPhone 11 Pro,"iPhone12,3",Gold,64 GB,"MW9E2, MWA82, MW9T2, MWAQ2, MWCK2"
,,,256 GB,"MW9J2, MWAE2, MW9X2, MWAV2, MWCP2"
,,,512 GB,"MW9N2, MWAJ2, MWA42, MWC02, MWCU2"
,,Midnight Green,64 GB,"MW9F2, MWA92, MW9U2, MWAR2, MWCL2"
,,,256 GB,"MW9K2, MWAF2, MW9Y2, MWAW2, MWCQ2"
,,,512 GB,"MW9P2, MWAL2, MWA52, MWC12, MWCV2"
,,Silver,64 GB,"MW9D2, MWA72, MW9R2, MWAP2, MWCJ2"
,,,256 GB,"MW9H2, MWAD2, MW9W2, MWAU2, MWCN2"
,,,512 GB,"MW9M2, MWAH2, MWA32, MWAY2, MWCT2"
,,Space Gray,64 GB,"MW9C2, MWA62, MW9Q2, MWAM2, MWCH2"
,,,256 GB,"MW9G2, MWAA2, MW9V2, MWAT2, MWCM2"
,,,512 GB,"MW9L2, MWAG2, MWA12, MWAX2, MWCR2"
,,Gold,64 GB,MWC52
